Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
General Equipment,Common,PC Hang (Keyboard and Mouse is not working ) whole machine,Continue Part NG,Restart the PC
General Equipment,A1,Turn Table Vacuum Alarm,Identified during failure analysis,So Robot A1 axis Cell placing Position at flipper changed from -104.5 to -105.5 mm
General Equipment,A5,Clamp got broken,Identified during failure analysis,Repaired clamp and provided new thread in table.
General Equipment,A7,Mover got free 2 times,Identified during failure analysis,Conducted initialization and memory clear of ITS.
General Equipment,A8,Ingress Tape wrapping issue,Identified during failure analysis,Increased Tape Vacuum set point from -35 to -45 kPa. Adjusted Glue scraping front and rear axle glue suction position from 11.5 to 11.
General Equipment,A9,FAI 125 & 127 NG,Identified during failure analysis,Adjusted Robot Placing position of tape in x-axis by 0.1 mm.
General Equipment,A10,Back side wrapping open and Big wing wrapping issue,Identified during failure analysis,Updated Pressure hold upd2 - hold pressure position from 95 to 95.1 mm.
Unknown,Unknown,Unknown issue,Identified during failure analysis,Changed Wrap 4 station wrap position from 76.61 to 76.81 mm.
General Equipment,A11,Reback Vacuum Alarm,Identified during failure analysis,Adjusted rethrow shift pick-up position from 221.41 to 222.41 mm.
General Equipment,A12,CCD NG at Part fetching position of robot 2 and 3,Identified during failure analysis,Adjusted channel ROI and drop matting position to avoid Matting NG.
General Equipment,A14,Robot Connection Abnormal,Identified during failure analysis,Powered off machine and performed bit reset to initial position. Initialized the entire machine.
General Equipment,A15 (Pre),ST40 sort axis B fetch vacuum Alarm,Identified during failure analysis,Adjusted servo output A position by 2 mm in forward side.
General Equipment,A16,VHB Tran 2 Vacuum Alarm,Identified during failure analysis,Adjusted Trans 2 Vacuum Rod cylinder stopper by 1.5 mm.
General Equipment,A18 (Post ),FAI 26 NG,Identified during failure analysis,Increased total length (FAI 47) by 0.15 mm. Adjusted Emptying Y2 & Y1 put datum position parameters from 20.14 to 19.99 mm and from 17.18 to 17.03 mm of Cell loading Machine.
General Equipment,VHB,Bubble issue,Identified during failure analysis,Inclination found after doing pressure paper at VHB pasting pad so Correction done Rolling Position of Roll upd1 and 2 taken up by 0.4mm
General Equipment,Leakage,Serious Alarm,Identified during failure analysis,Initinal the machine
General Equipment,FT,Discharge tank chain 1 material check 1 material is not bright alarm as cell drop position at fixture not Ok,Identified during failure analysis,So Robot 2 cell placing at discarge tank chain position of A1 axis changed from -162.47 to -164.47
General Equipment,Water Ingress Wrapping,Pressure holding 2 translation cylider is not ON due to Cylinder not reached its holding position as cylinder connector got damage,Identified during failure analysis,So Cylinder Pneumatic Connector changed
Loading System,Cell Loading,Turn Table Vacuum Alarm,Identified during failure analysis,So Robot X axis Cell placing Position at flipper changed from -105.5 to -107.5 mm
Assembly Station,Pre APMT,"The operator shuts down the background program of the measurement software by mistake, resulting in measurement data loss.",Identified during failure analysis,Restart the software and restore the system to normal.
Loading System,Cell Loading,N\A,Identified during failure analysis,Install New camera
General Equipment,Cosmetic tape sticking,"FAI 125,127",Identified during failure analysis,Clean vacuum Pad of Robot
General Equipment,Cosmetic tape sticking,Upper computer Abnormal,Identified during failure analysis,Restart PC
General Equipment,VHB Machine,VHB Bubble Issue,Identified during failure analysis,Incoming Material Segrate
General Equipment,Cell Tab Z Bending,Upper computer Abnormal,Identified during failure analysis,Restart PC
General Equipment,Cosmetic tape sticking,Tape Wrapping Issue,Identified during failure analysis,Tape change
General Equipment,VHB Machine,VHB Translocation 2 vacuum alarm,Identified during failure analysis,VHB prsence sensor range set
General Equipment,LQC,LQC station only 2 manpower,Identified during failure analysis,See problem description
General Equipment,FT Machine,Upper computer Abnormal,Identified during failure analysis,Pc Restart
General Equipment,VHB Machine,Tera clamp alarm,Identified during failure analysis,Clear the memory of tear-1 & toppinig -1
General Equipment,VHB Machine,Matrial upload issue,Identified during failure analysis,Matial load by MFG person
General Equipment,Cosmetic tape sticking,Feedre inside to roll stuck,Identified during failure analysis,Cut the tape roll & manualy remove
Loading System,Pcm loading,2-time correspondind erooe in MES,Identified during failure analysis,Clear the memory of tear-1 & toppinig -1
Loading System,Pcm loading,All PCM put in ng conveyer,Identified during failure analysis,Check the data alarm in Mes then remove all PCM & running underobservation.
Loading System,Cell Loading,Reinput-2 material not bright X3.5,Identified during failure analysis,Teach the fiber sensor running underobservation.
General Equipment,Image Captrue,Time cycle is high,Identified during failure analysis,Restart PC & all Software.
General Equipment,Cosmatic Tape Sticking,Upper computer Abnormal,Identified during failure analysis,Restart the PC & Software.
Loading System,Cell Loading,3 time part not feed,Identified during failure analysis,Part Check by Quality team For print Ng cosmatic Side & dent part.
Loading System,Cell loading,Material not loaded by MFG person Due to manpower short,Identified during failure analysis,See problem description
Loading System,PCM loading,Unknown issue,Identified during failure analysis,See problem description
General Equipment,VHB Machine,Hot press output UPD-2 not on (due to pipe leakage),Identified during failure analysis,Leakage pipe connected by pu connector
General Equipment,A1 - A11,Carrier not feed,Identified during failure analysis,See problem description
General Equipment,Cosmetic tape sticking,Tape roll end,Identified during failure analysis,After 15-min. roll feed
Inspection Station,Connector inspection,NG conveyor full (part not pick by any person),Identified during failure analysis,Na
General Equipment,Casmetic tape sticking,"Fai 124, ng",Identified during failure analysis,Vacuum pad clean and pad hight adjust 1mm
General Equipment,Water ingress tape sticking,Cylinder air broken,Identified during failure analysis,4*4 I connector new fixed
General Equipment,Pcm tab bending,MES Computar shutdown,Identified during failure analysis,Pc restart and VGA cabel change
General Equipment,VHB Machine,Drive mode alarm,Identified during failure analysis,Panel temperature 30.4 degree
General Equipment,Whole Line,MES data upload error,Identified during failure analysis,See problem description
General Equipment,Leakage Machine,Device generates serius alarm,Identified during failure analysis,Initialize the m/c
General Equipment,Cosmatic Tape Sticking,Air pressure insufficient alarm,Identified during failure analysis,Found air leakage from pipe then fixed with I connector
Loading System,Cell Loading,Mapping NG,Identified during failure analysis,Remove and Refeed another parts
Loading System,Cell Loading,Continous detum / maping ng issue,Identified during failure analysis,Remove tray & load new parts
General Equipment,VHB Machine,VHB Drive alarm (Due to floor temp. 30 dgree),Identified during failure analysis,Servo manually take home position
General Equipment,Whole Line,Cell Not Available,Identified during failure analysis,Wait For the Cell
General Equipment,Lqc,Line stop by lqc due to dent found,Identified during failure analysis,All dented coming in incoming material
General Equipment,VHB Machine,Bubble issue,Identified during failure analysis,Pressure paper check
General Equipment,VHB machine,Drive alarm (2-Time repeat),Identified during failure analysis,"28 to 29,12-13-14 Drive communication cable changed"
Assembly Station,Post APMT,ST-30 test -B vacuum alarm (Glue stick on vacuum pad),Identified during failure analysis,Vacuum pad clean
General Equipment,Cocmetic sticking,Upper computer Abnormal,Identified during failure analysis,Restart the Software.
General Equipment,Whole line,Workorder change,Identified during failure analysis,Changed.
Loading System,Cell loading,Robot vaccum alarm due to Tray load with miss align part,Identified during failure analysis,Remove tray & Robot memory clear
Loading System,Cell loading,Part not feed,Identified during failure analysis,See problem description
General Equipment,VHB machine,Out roll-2 vacuum alarm (Glue stick on turntable fixtures),Identified during failure analysis,Turntable fixture clean
General Equipment,VHB Machine,Vhb image show blur both side,Identified during failure analysis,Flapper bag full due to this flapper drop on camera
General Equipment,Cosmatic tape sticking,Upper computer hang,Identified during failure analysis,Pc restart
Assembly Station,POST APMT,"FAI 78,79,84,90,300b dc fail at channel 2",Identified during failure analysis,Machine inside part remove and machine clean and initilize
Assembly Station,POST APMT,FAI 51 NA,Identified during failure analysis,ST10 Push cylinder alignment done.
Assembly Station,Pre APMT,"Calibration fail Fai 76,38,39 NA",Identified during failure analysis,Pc restart &cleaning
General Equipment,VHB m/c,Bubble issue,Identified during failure analysis,Rollor clean
Assembly Station,Post APMT m/c,St 30 vacuum issue,Identified during failure analysis,Vacuum pad clean
Loading System,PCM loading,PCM material loading issue,Identified during failure analysis,PCM material load by MFG
General Equipment,Cell tab Z bending & cutting,Upper computer Abnormal,Identified during failure analysis,Restart pc
Assembly Station,Post APMT M/C,Door open runing time,Identified during failure analysis,Initilize tha m/c
General Equipment,LQC dent,Dent issue,Identified during failure analysis,Matrial incoming
General Equipment,Bubble LQC,Bubble issue,Identified during failure analysis,Both rollor transparante tape add
General Equipment,VHB Machine,Material upload issue,Identified during failure analysis,Load in mes system
General Equipment,VHB Machine,Hot press output UPD-1 not on (due to pipe leakage),Identified during failure analysis,Pipe Connect with pu-connector
General Equipment,VHB Machine,Hotpress vaccume alarm,Identified during failure analysis,Spung tape change
Loading System,Pcm loading,Error showing in mes,Identified during failure analysis,One time machine initilize and 5 time memory clear
Loading System,Cell loading,Mapping and datum ng old part run during chaneover,Identified during failure analysis,See problem description
Assembly Station,Post APMT,ST30 testB fetch CYD2 vacuum fail,Identified during failure analysis,Remove all part & initlize the machine.
Loading System,PCM Loading,All PCM put in Ng conveyor,Identified during failure analysis,Error in MES material short then upload the PCM.
General Equipment,LQC,Part not picked at LQC station,Identified during failure analysis,Due to this back side machine stop
General Equipment,Cosmatic tape sticking,Upper computer abnormal,Identified during failure analysis,Restart pc
General Equipment,PAD printing (3359),250 cell for print,Identified during failure analysis,180 pcs quality pass 70 pcs bar code not print due to MES 2.0 issue
General Equipment,VHB,Incomming shift out upd vaccuam iccue,Identified during failure analysis,Vaccum ventury clean done
Loading System,PCM loading,Pcm press top - 2 pu pipe puncher,Identified during failure analysis,Pipe replced with new one
General Equipment,Leakage,Robot controller filter clean done,Identified during failure analysis,Done
Assembly Station,Pre-APMT,Unknown issue,Identified during failure analysis,See problem description
Assembly Station,Post-APMT,Unknown issue,Identified during failure analysis,See problem description
Welding Machine,Laser welding,Laser welding contreller filter clean,Identified during failure analysis,See problem description
Unknown,Unknown,Tekscane activity of line-1,Identified during failure analysis,Done
General Equipment,"Pad printing (3354,3359 & 2821)",HMI backup,Identified during failure analysis,Done
Unknown,Unknown,Strain test activity of line -1,Identified during failure analysis,40% completed
General Equipment,"Line-2, line-3",Standard block collected then kepted in near mini store outside trolly,Identified during failure analysis,Done
